2005-09-03, Boise State,169,35,123,25,13,6,40,2,4,10,10,4,0,0,1669,13, Georgia,180,33,394,33,22,8,65,1,0,9,12,5,0,0,1931,48
2005-09-03, Colorado State,95,34,291,43,28,9,73,0,4,8,16,7,2,1,1948,28, Colorado,113,29,283,33,22,9,87,2,1,8,10,3,1,1,1652,31
2005-09-03, Baylor,215,45,198,40,23,10,76,1,2,13,18,9,1,0,2234,28, SMU,170,36,106,26,9,2,20,2,0,7,12,1,4,2,1366,23
2005-09-03, Missouri State,178,39,160,28,12,4,30,3,2,5,16,3,2,2,1962,17, Arkansas,483,51,108,25,13,6,55,4,1,20,10,5,2,1,1638,49
2005-09-03, Portland State,126,34,174,33,15,1,10,0,2,7,15,4,2,1,1938,14, Oregon State,77,26,402,46,28,7,44,0,1,3,14,6,0,0,1662,41
2005-09-03, Notre Dame,275,50,227,27,18,10,94,0,1,20,15,10,0,0,1966,42, Pitt,103,31,220,35,20,6,55,1,1,8,14,4,3,1,1634,21
2005-09-03, UTEP,97,35,204,33,17,6,68,1,0,2,14,4,1,0,1667,34, New Mexico St,-17,24,347,62,38,5,34,1,3,1,19,7,5,2,1890,17
2005-09-03, Kent State,14,15,301,55,32,5,39,0,1,2,18,6,2,1,1571,14, Michigan State,354,55,331,35,27,7,60,2,1,18,11,7,1,0,2029,49
2005-09-03, N Illinois,211,32,200,25,17,5,37,4,1,10,8,4,0,0,1491,17, Michigan,208,48,239,33,21,4,31,1,0,12,17,11,2,1,2109,33
2005-09-03, Miami (OH),48,30,250,44,24,4,26,1,1,4,17,8,1,0,1798,14, OSU,160,36,222,30,22,2,26,1,1,11,10,5,1,1,1802,34
2005-09-03, Sacramento St,68,32,121,37,16,6,35,3,0,5,19,4,1,0,1802,3, Cal,212,41,183,28,10,5,40,2,2,9,15,4,1,0,1798,41
2005-09-03, Duke,162,43,139,30,15,2,20,1,3,11,17,9,2,1,1933,21, ECU,103,36,235,21,17,9,65,2,0,3,13,6,1,1,1667,24
2005-09-03, Washington,129,34,242,27,19,5,41,0,0,5,12,6,1,0,1688,17, Air Force,218,52,207,22,13,4,35,2,0,12,17,9,3,3,1912,20
2005-09-03, UAB,53,23,282,38,27,9,50,1,1,4,12,5,1,0,1783,10, Tennessee,138,35,274,38,22,5,55,0,3,10,14,9,1,0,1817,17
2005-09-03, Wyoming,72,27,150,32,14,3,37,1,1,5,13,2,3,2,1531,14, Florida,91,36,320,34,26,4,30,0,0,11,12,4,0,0,2069,32
2005-09-03, LA-Lafayette,72,34,166,33,16,10,83,0,1,4,18,5,2,1,1879,3, Texas,418,52,173,17,13,7,55,1,1,22,10,6,1,1,1721,60
2005-09-03, W Michigan,86,37,271,49,33,6,60,1,1,7,18,7,4,0,2059,19, UVA,188,41,252,25,17,6,50,1,2,10,11,3,1,0,1541,31
2005-09-03, Texas A&M,248,33,110,17,8,9,70,0,1,10,7,2,1,0,1322,24, Clemson,183,51,213,24,16,5,35,0,0,12,16,7,1,1,2278,25
2005-09-03, Maine,-6,37,151,36,16,7,55,1,1,4,21,7,1,0,1908,7, Nebraska,121,42,192,36,15,0,0,3,2,7,17,5,3,1,1692,25
2005-09-04, VT,124,41,108,21,10,6,40,0,0,8,15,4,2,2,1766,20, North Carolina St,127,29,311,44,27,12,105,1,2,5,14,6,1,1,1834,16
2005-09-04, Louisville,209,46,179,27,19,5,35,0,0,11,15,9,1,1,2120,31, Kentucky,47,27,278,27,17,3,34,3,0,5,10,5,0,0,1480,24
2005-09-04, West Virginia,172,45,167,27,17,7,65,4,1,8,14,1,2,2,2035,15, Syracuse,18,26,85,31,15,11,71,0,2,3,15,0,1,0,1565,7
2005-09-05, Miami (FL),81,44,232,28,16,7,75,1,2,6,16,4,1,0,2208,7, FSU,96,33,74,26,8,7,70,1,1,4,14,2,1,0,1392,10
2005-09-05, Ole Miss,55,36,207,31,15,5,25,0,2,4,15,3,1,1,1835,10, Memphis,119,38,149,29,16,4,26,1,2,8,15,4,2,2,1765,6
2005-09-05, UNLV,108,29,255,31,19,9,65,0,1,5,16,8,1,1,1707,22, New Mexico,87,39,288,29,20,6,45,0,0,4,15,6,0,0,1893,24
2005-09-08, Oklahoma State,194,49,98,22,11,8,64,1,0,11,15,4,0,0,1929,23, FAU,129,41,91,16,7,8,53,4,0,9,11,1,1,0,1671,3
2005-09-09, Pitt,148,41,120,26,13,10,80,0,3,6,17,6,1,0,1741,10, Ohio,94,35,114,24,14,5,42,0,0,5,15,4,0,0,1859,16
2005-09-09, Washington St,247,43,287,32,19,6,48,1,0,13,12,4,1,1,1822,55, Nevada,125,35,257,42,23,3,46,0,1,8,16,4,1,1,1778,21
2005-09-10, Florida A&M,31,26,54,20,9,8,74,0,1,1,13,0,1,0,1446,3, USF,377,56,113,18,8,15,119,1,0,17,14,6,1,1,2154,37
2005-09-10, Southern Miss,9,23,190,30,15,11,109,0,1,2,12,3,0,0,1422,21, Alabama,140,43,330,37,21,10,95,1,1,8,16,6,2,2,2178,30
2005-09-10, Kansas State,208,46,126,19,10,10,90,2,1,6,16,9,0,0,1992,21, Marshall,74,26,262,38,22,5,25,3,2,5,12,2,3,2,1608,19
